"cc";"name";"domain";"url";"ori_amp_url";"amp_viewer_url";"amp_cdn_url"
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//news/local-news/update-on-wildfires-from-the-minister-of-forests-1.23420076";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//telus-cup-at-cn-centre-2017-1.17240596";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//photos/look-who-s-celebrating-september-2016-1.2337110";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//entertainment/local-a-e/london-calling-and-local-talent-answers-1.23419598";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//opinion/columnists/living-proof-love-is-the-right-medicine-1.22013013";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//sports/herrington-at-home-with-cariboo-cats-1.23421750";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/no-fudging-things-at-the-home-show/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/stroke-recovery-group-shares-stories-with-tnw-cast/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/poll-suggests-winter-games-good-for-the-city-and-shows-support-for-similar-events/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/letter-not-sorry-for-being-a-teacher/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/barenaked-ladies-start-canadian-tour-in-prince-george-on-oct-19/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/cullen-slams-ottawa-on-state-of-health-services-for-remote-first-nations-communities/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/prince-george-bowlers-no-strangers-to-nationals/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/province-funds-cnc-trades-programs-no-help-for-suspended-dental-programs/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/ndit-still-focused-on-pine-beetle-recovery/";NULL;NULL;NULL
"CA";"Prince George Free Press";"www.pgfreepress.com";"http://www.pgfreepress.com/one-injured-in-crash-at-ospika-and-dufferin/";NULL;NULL;NULL
"CA";"The River";"www.1013theriver.com";"https://www.1013theriver.com/general-contest-rules-for-on-air-promotions";NULL;NULL;NULL
"CA";"The River";"www.1013theriver.com";"https://www.1013theriver.com/2018/08/27/101-3-the-rivers-beat-shazam-to-see-justin-timberlake/";NULL;NULL;NULL
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/weather-prince-rupert";NULL;NULL;NULL
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/shows/mike-nagle-1.1810201";NULL;NULL;NULL
